Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-0.4229978024959564,32.5625,1000.0,0.0,1.4035873413085938,0.014270438812673092,40.0,1.0001795291900635,1.0001795291900635,1.0001795291900635,0.017905117943882942,0.00029880000511184335,0.9847718477249146,20000.0,-0.014185025356709957,-0.014185025356709957,-0.04562858119606972,0.005850754678249359,0.005850754678249359,-0.08607867360115051,0.5551205277442932,0.5551205277442932,0.0624195858836174,205.52284240722656,45.6217041015625,159.90113830566406,205.52284240722656,97.31278228759766,0.03599999472498894,0.03599999472498894,0.03599999472498894,0.0
0.5365738272666931,41.34375,1000.0,1.0,1.3877367973327637,0.021888630464673042,36.0,0.9975830316543579,0.9975830316543579,0.9975830316543579,0.02021373063325882,0.0002975999959744513,0.9693291187286377,40000.0,-0.016517383977770805,-0.0023323586210608482,-0.1866416186094284,0.006767363753169775,0.0009166090749204159,-0.06562911719083786,0.6203672885894775,0.06524676084518433,0.7997569441795349,385.8406066894531,38.514137268066406,141.74876403808594,180.2628936767578,110.94906616210938,0.0694834515452385,0.0694834515452385,0.0694834515452385,0.0
1.1585026979446411,64.33333587646484,1000.0,2.0,1.3658818006515503,0.021310899406671524,35.0,0.9980877041816711,0.9980877041816711,0.9980877041816711,0.020581070333719254,0.00029639998683705926,0.9483659267425537,60000.0,-0.021662630140781403,-0.005145246163010597,-0.08297286182641983,0.007717245724052191,0.0009498819708824158,-0.02178203873336315,1.3309779167175293,0.7106106281280518,2.052659273147583,563.6039428710938,36.792991638183594,140.9345245361328,177.72750854492188,112.53181457519531,0.10058404505252838,0.10058404505252838,0.10058404505252838,0.0
2.6486520767211914,81.76000213623047,1000.0,3.0,1.3463363647460938,0.023102175444364548,23.0,0.9974085092544556,0.9974085092544556,0.9974085092544556,0.02117602713406086,0.00029520000680349767,0.9300278425216675,80000.0,-0.020277848467230797,0.0013847816735506058,0.05279207229614258,0.012841557152569294,0.005124311428517103,0.06291037052869797,1.4107574224472046,0.07977950572967529,2.898993492126465,692.4437255859375,35.311283111572266,93.49163818359375,128.80291748046875,155.27598571777344,0.13220106065273285,0.13220106065273285,0.13220106065273285,0.0
4.213009834289551,98.62000274658203,1000.0,4.0,1.3260319232940674,0.020001348108053207,23.0,0.9981123805046082,0.9981123805046082,0.9981123805046082,0.020149219781160355,0.00029399999766610563,0.9113070964813232,100000.0,-0.022815823554992676,-0.002537975087761879,-0.0016333535313606262,0.016194120049476624,0.0033525628969073296,0.14291264116764069,1.5845980644226074,0.17384064197540283,4.9780144691467285,816.320068359375,28.74825668334961,95.0967025756836,123.84496307373047,161.4922332763672,0.16450774669647217,0.16450774669647217,0.16450774669647217,0.0
5.397424697875977,93.54000091552734,1000.0,5.0,1.3039671182632446,0.020473584532737732,18.0,0.9986348152160645,0.9986348152160645,0.9986348152160645,0.02012029103934765,0.0002927999885287136,0.891400158405304,120000.0,-0.023847447708249092,-0.0010316241532564163,0.11735337972640991,0.01862732134759426,0.0024332012981176376,0.22154565155506134,1.8961278200149536,0.3115297555923462,5.038933753967285,925.0824584960938,32.758460998535156,75.97278594970703,108.73124694824219,183.93975830078125,0.19781172275543213,0.19781172275543213,0.19781172275543213,0.0
5.730710029602051,101.55999755859375,1000.0,6.0,1.2927783727645874,0.02314206212759018,20.0,0.9999492168426514,0.9999492168426514,0.9999492168426514,0.020963160321116447,0.000291600008495152,0.8815031051635742,140000.0,-0.024697553366422653,-0.0008501056581735611,0.07542885094881058,0.020037351176142693,0.0014100298285484314,0.33028125762939453,1.8793327808380127,-0.016795039176940918,6.000034809112549,1041.57958984375,33.31764602661133,83.15008544921875,116.46773529052734,171.72137451171875,0.23186948895454407,0.23186948895454407,0.23186948895454407,0.0
6.704123020172119,100.69999694824219,1000.0,7.0,1.2753934860229492,0.020910805091261864,15.0,1.0003412961959839,1.0003412961959839,1.0003412961959839,0.02008535899221897,0.00029039999935775995,0.8663252592086792,160000.0,-0.024126101285219193,0.0005714520812034607,-0.03831044211983681,0.02505416050553322,0.005016809329390526,0.4034765064716339,1.936549186706543,0.05721640586853027,7.218688488006592,1140.3226318359375,36.99246597290039,61.7224235534668,98.71488952636719,202.6036834716797,0.26651495695114136,0.26651495695114136,0.26651495695114136,0.0
6.873569488525391,111.18000030517578,1000.0,8.0,1.2641499042510986,0.021941671147942543,16.0,0.9986408352851868,0.9986408352851868,0.9986408352851868,0.020949309691786766,0.0002891999902203679,0.8567268252372742,180000.0,-0.031117860227823257,-0.006991758942604065,0.05276787281036377,0.02440686896443367,-0.0006472915410995483,0.44183358550071716,2.1755483150482178,0.2389991283416748,6.386857986450195,1243.41796875,37.06574630737305,66.00032806396484,103.06607055664062,194.05027770996094,0.30169931054115295,0.30169931054115295,0.30169931054115295,0.0
7.597701549530029,123.5199966430664,1000.0,9.0,1.25837242603302,0.02111993357539177,12.0,1.001896619796753,1.001896619796753,1.001896619796753,0.020392894744873047,0.0002880000101868063,0.8518282175064087,200000.0,-0.026872942224144936,0.004244918003678322,-0.011641878634691238,0.021624738350510597,-0.002782130613923073,0.5251525640487671,2.825620412826538,0.6500720977783203,7.4802422523498535,1331.4134521484375,37.126861572265625,50.84031677246094,87.96717834472656,227.35752868652344,0.33738505840301514,0.33738505840301514,0.33738505840301514,0.0
7.556224346160889,135.94000244140625,1000.0,10.0,1.2405849695205688,0.02248046174645424,16.0,1.0037153959274292,1.0037153959274292,1.0037153959274292,0.020923733711242676,0.0002868000010494143,0.8367838859558105,220000.0,-0.033486273139715195,-0.006613330915570259,0.18247194588184357,0.028738083317875862,0.007113344967365265,0.5394054651260376,2.722637414932251,-0.10298299789428711,8.021631240844727,1436.2818603515625,36.5274658203125,68.3130111694336,104.84135437011719,190.76441955566406,0.3735450208187103,0.3735450208187103,0.3735450208187103,0.0
8.194111824035645,123.41999816894531,1000.0,11.0,1.225171685218811,0.020867764949798584,13.0,1.0016928911209106,1.0016928911209106,1.0016928911209106,0.0209092665463686,0.00028559999191202223,0.8240079283714294,240000.0,-0.032095059752464294,0.0013912133872509003,0.24827700853347778,0.030056117102503777,0.0013180337846279144,0.6582111120223999,2.3382174968719482,-0.38441991806030273,8.303969383239746,1528.5130615234375,37.847862243652344,54.355045318603516,92.2029037475586,216.91290283203125,0.41003525257110596,0.41003525257110596,0.41003525257110596,0.0
9.471770286560059,111.04000091552734,1000.0,12.0,1.2183574438095093,0.02012339048087597,12.0,0.999904990196228,0.999904990196228,0.999904990196228,0.02080901525914669,0.00028440001187846065,0.8184646964073181,260000.0,-0.030391084030270576,0.001703975722193718,0.48353099822998047,0.03265776485204697,0.00260164774954319,0.7677330374717712,2.4938483238220215,0.15563082695007324,9.724401473999023,1616.7310791015625,38.07387161254883,50.116477966308594,88.19034576416016,226.7821807861328,0.4465901851654053,0.4465901851654053,0.4465901851654053,0.0
9.971526145935059,102.16000366210938,1000.0,13.0,1.2076153755187988,0.021326297894120216,14.0,1.0009591579437256,1.0009591579437256,1.0009591579437256,0.02209380827844143,0.0002832000027410686,0.8097037076950073,280000.0,-0.03367592394351959,-0.003284839913249016,0.21230551600456238,0.0313665047287941,-0.0012912601232528687,0.8168715834617615,1.9285517930984497,-0.5652965307235718,10.757192611694336,1715.3031005859375,40.18329620361328,58.362884521484375,98.54669952392578,202.95053100585938,0.4829930365085602,0.4829930365085602,0.4829930365085602,0.0
10.626091003417969,103.83999633789062,1000.0,14.0,1.2051128149032593,0.02074805647134781,11.0,1.0005524158477783,1.0005524158477783,1.0005524158477783,0.021604372188448906,0.00028199999360367656,0.8076366186141968,300000.0,-0.03146645054221153,0.0022094734013080597,0.10894248634576797,0.04325101152062416,0.011884506791830063,0.8543523550033569,2.4035332202911377,0.474981427192688,9.554183959960938,1799.27587890625,37.48539352416992,46.45870590209961,83.94409942626953,238.25379943847656,0.5193085074424744,0.5193085074424744,0.5193085074424744,0.0
11.200246810913086,119.73999786376953,1000.0,15.0,1.1957801580429077,0.02048654668033123,10.0,1.0009033679962158,1.0009033679962158,1.0009033679962158,0.02002880908548832,0.00028080001357011497,0.8001709580421448,320000.0,-0.03479234501719475,-0.0033258944749832153,0.03553943336009979,0.045451097190380096,0.0022000856697559357,1.0421799421310425,3.092155694961548,0.6886224746704102,9.88919734954834,1876.851318359375,34.30878448486328,43.24116134643555,77.54994201660156,257.8983154296875,0.555899441242218,0.555899441242218,0.555899441242218,0.0
11.0960111618042,120.13999938964844,1000.0,16.0,1.1931722164154053,0.02018297091126442,10.0,0.9992042183876038,0.9992042183876038,0.9992042183876038,0.02007424458861351,0.0002796000044327229,0.7981123328208923,340000.0,-0.031364262104034424,0.003428082913160324,0.27882134914398193,0.036487333476543427,-0.00896376371383667,0.9534205794334412,2.5358848571777344,-0.5562708377838135,10.687707901000977,1956.07373046875,36.88723373413086,42.30895233154297,79.19618225097656,252.53741455078125,0.5927205085754395,0.5927205085754395,0.5927205085754395,0.0
11.718315124511719,112.94000244140625,1000.0,17.0,1.1840702295303345,0.022376738488674164,13.0,0.9997714161872864,0.9997714161872864,0.9997714161872864,0.020793138071894646,0.0002783999952953309,0.7908925414085388,360000.0,-0.0342375710606575,-0.0028733089566230774,-0.03809535503387451,0.042490772902965546,0.006003439426422119,1.1125164031982422,1.7851440906524658,-0.7507407665252686,10.016219139099121,2048.46240234375,37.37376403808594,54.98970413208008,92.36346435546875,216.53582763671875,0.6295701265335083,0.6295701265335083,0.6295701265335083,0.0
