Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier
0.22781841456890106,127.9375,1000.0,0.0,1.4141077995300293,0.01029275730252266,40.0,1.0002233982086182,1.0002233982086182,1.0002233982086182,0.014549863524734974,0.00029880000511184335,0.9951919317245483,20000.0,-0.021585799753665924,-0.021585799753665924,-0.18011213839054108,0.005085012875497341,0.005085012875497341,0.03781680762767792,2.9633948802948,2.9633948802948,0.08316578716039658,178.594970703125,21.93019676208496,156.66477966308594,178.594970703125,111.98523712158203,1.6090312004089355
0.47508955001831055,135.875,1000.0,1.0,1.4190104007720947,0.011310222558677197,40.0,1.0020403861999512,1.0020403861999512,1.0020403861999512,0.016337737441062927,0.0002975999959744513,1.0000922679901123,40000.0,-0.0483168326318264,-0.026731032878160477,-0.037018176168203354,0.003954813815653324,-0.001130199059844017,0.09307532012462616,1.9734216928482056,-0.9899731874465942,1.181459903717041,359.6642150878906,23.94422149658203,157.08779907226562,181.03201293945312,110.47769165039062,3.3111610412597656
0.5510089993476868,124.22916412353516,1000.0,2.0,1.4160281419754028,0.01388738676905632,40.0,1.0029194355010986,1.0029194355010986,1.0029194355010986,0.017488623037934303,0.00029639998683705926,0.9970977902412415,60000.0,-0.05368237942457199,-0.00536554679274559,0.2034895420074463,0.004157843068242073,0.00020302925258874893,0.04710681736469269,1.7812740802764893,-0.1921476125717163,2.573186159133911,540.5169677734375,22.536651611328125,158.28073120117188,180.8173828125,110.60883331298828,4.8031110763549805
0.666761577129364,105.16000366210938,1000.0,3.0,1.4168075323104858,0.01817842572927475,40.0,1.0004774332046509,1.0004774332046509,1.0004774332046509,0.019999222829937935,0.00029520000680349767,0.9978749752044678,80000.0,-0.0650116428732872,-0.01132926344871521,-0.234270840883255,0.0040137628093361855,-0.0001440802589058876,0.0644092932343483,1.7096158266067505,-0.07165825366973877,3.1510040760040283,721.7332763671875,21.665990829467773,159.51278686523438,181.17877197265625,110.3882064819336,5.974506378173828
0.6636546850204468,81.76000213623047,1000.0,4.0,1.4155193567276,0.020337048918008804,36.0,1.0010234117507935,1.0010234117507935,1.0010234117507935,0.02011658065021038,0.00029399999766610563,0.9965917468070984,100000.0,-0.07978737354278564,-0.014775730669498444,-0.2665919363498688,0.0034724916331470013,-0.0005412711761891842,0.0867120772600174,1.45872163772583,-0.2508941888809204,3.159212350845337,885.570556640625,20.758522033691406,143.04019165039062,163.79872131347656,122.10108184814453,6.764711856842041
0.4140307307243347,90.44000244140625,1000.0,5.0,1.412062168121338,0.02037746086716652,29.0,1.0007404088974,1.0007404088974,1.0007404088974,0.020574066787958145,0.0002927999885287136,0.9931812882423401,120000.0,-0.0812000185251236,-0.0014126449823379517,-0.026748642325401306,0.003867405466735363,0.00039491383358836174,0.0712456926703453,1.7344214916229248,0.2756998538970947,3.4346179962158203,1021.1611328125,19.901538848876953,115.65373229980469,135.55526733398438,147.54129028320312,7.678327560424805
0.13625653088092804,67.16000366210938,1000.0,6.0,1.399718999862671,0.02068396843969822,27.0,0.998829185962677,0.998829185962677,0.998829185962677,0.021170226857066154,0.000291600008495152,0.9809792637825012,140000.0,-0.06292122602462769,0.01827879250049591,0.0029853209853172302,0.003383014118298888,-0.0004843913484364748,0.03731398284435272,1.2259485721588135,-0.5084729194641113,5.7820329666137695,1149.93310546875,22.70229148864746,106.03596496582031,128.73826599121094,155.35397338867188,8.218141555786133
-0.14577610790729523,68.86000061035156,1000.0,7.0,1.3976688385009766,0.020069122314453125,29.0,1.0048182010650635,1.0048182010650635,1.0048182010650635,0.021002311259508133,0.00029039999935775995,0.9790042042732239,160000.0,-0.07913574576377869,-0.016214519739151,0.06183931231498718,0.0030875022057443857,-0.0002955119125545025,0.04852570593357086,1.4536412954330444,0.22769272327423096,3.9172980785369873,1286.3270263671875,20.473163604736328,115.88687133789062,136.3600311279297,146.67054748535156,8.778395652770996
-0.02715393155813217,57.70000076293945,1000.0,8.0,1.3818790912628174,0.020104311406612396,22.0,1.002005696296692,1.002005696296692,1.002005696296692,0.020702989771962166,0.0002891999902203679,0.9637643694877625,180000.0,-0.06096838042140007,0.018167365342378616,-0.002489311620593071,0.0032192703802138567,0.00013176817446947098,0.04201479256153107,1.2004441022872925,-0.25319719314575195,3.833000898361206,1395.7210693359375,21.485828399658203,87.87368774414062,109.36151123046875,182.8796844482422,9.159586906433105
-0.037831611931324005,62.84000015258789,1000.0,9.0,1.3781042098999023,0.02049929089844227,19.0,1.0020983219146729,1.0020983219146729,1.0020983219146729,0.020870093256235123,0.0002880000101868063,0.9601275324821472,200000.0,-0.06210941821336746,-0.001141037791967392,-0.18252813816070557,0.0029752813279628754,-0.00024398905225098133,0.058264631778001785,1.2234463691711426,0.023002266883850098,4.255092620849609,1491.53076171875,20.40532684326172,75.374267578125,95.77959442138672,208.812744140625,9.617737770080566
0.11165929585695267,54.34000015258789,1000.0,10.0,1.3790082931518555,0.02053755521774292,18.0,1.0002020597457886,1.0002020597457886,1.0002020597457886,0.021473057568073273,0.0002868000010494143,0.9608867764472961,220000.0,-0.05143187567591667,0.01067754253745079,-0.40305542945861816,0.0029708670917898417,-4.414236173033714e-06,0.040784407407045364,1.1065192222595215,-0.1169271469116211,3.959315538406372,1583.847900390625,21.124418258666992,71.162841796875,92.28726196289062,216.71463012695312,9.87618350982666
-0.29446732997894287,46.81999969482422,1000.0,11.0,1.3810911178588867,0.020317720249295235,19.0,1.0013703107833862,1.0013703107833862,1.0013703107833862,0.021152252331376076,0.00028559999191202223,0.9628919959068298,240000.0,-0.058234211057424545,-0.0068023353815078735,-0.1328972578048706,0.0029183835722506046,-5.248351953923702e-05,-4.437440657056868e-05,1.2217991352081299,0.1152799129486084,4.0325469970703125,1680.8590087890625,21.14945411682129,75.82992553710938,96.97937774658203,206.2294158935547,10.015847206115723
-0.5271738171577454,40.060001373291016,1000.0,12.0,1.365726351737976,0.021533219143748283,18.0,0.9989557266235352,0.9989557266235352,0.9989557266235352,0.020212320610880852,0.00028440001187846065,0.9481950402259827,260000.0,-0.047957029193639755,0.01027718186378479,0.09915544837713242,0.003397161839529872,0.0004787782672792673,-0.0033095786347985268,1.0098557472229004,-0.2119433879852295,4.926689624786377,1771.86572265625,19.945125579833984,71.03314208984375,90.978271484375,219.8327178955078,10.060481071472168
-0.9028818011283875,25.68000030517578,1000.0,13.0,1.350334882736206,0.02013324201107025,19.0,1.0013281106948853,1.0013281106948853,1.0013281106948853,0.020391853526234627,0.0002832000027410686,0.9337114691734314,280000.0,-0.04164936766028404,0.006307661533355713,-0.31505218148231506,0.003946461249142885,0.0005492994096130133,-0.03506074845790863,0.6517060399055481,-0.3581497073173523,2.778559923171997,1869.0574951171875,21.25637435913086,75.90834045410156,97.16471862792969,205.83602905273438,9.897058486938477
-1.0553425550460815,13.100000381469727,1000.0,14.0,1.332257866859436,0.020086882635951042,19.0,0.998997151851654,0.998997151851654,0.998997151851654,0.020895179361104965,0.00028199999360367656,0.916985273361206,300000.0,-0.04342477396130562,-0.001775406301021576,0.008594539016485214,0.004308085888624191,0.0003616246394813061,-0.021251410245895386,0.6875490546226501,0.03584301471710205,4.5014472007751465,1966.1064453125,20.763877868652344,76.25748443603516,97.0213623046875,206.14016723632812,9.558856010437012
-0.7310610413551331,23.059999465942383,1000.0,15.0,1.3295665979385376,0.020253801718354225,16.0,1.0016319751739502,1.0016319751739502,1.0016319751739502,0.02226165495812893,0.00028080001357011497,0.9145364761352539,320000.0,-0.04450937733054161,-0.0010846033692359924,-0.015461921691894531,0.003965675365179777,-0.00034241052344441414,-0.01007593609392643,0.890608012676239,0.20305895805358887,4.575575828552246,2051.170654296875,21.498226165771484,63.53718948364258,85.03541564941406,235.1961212158203,9.381653785705566
-0.7396359443664551,24.360000610351562,1000.0,16.0,1.3318367004394531,0.020967915654182434,20.0,0.9997373223304749,0.9997373223304749,0.9997373223304749,0.021215280517935753,0.0002796000044327229,0.9167017340660095,340000.0,-0.030886054039001465,0.013623323291540146,-0.03732975572347641,0.002928090048953891,-0.0010375853162258863,-0.057795118540525436,0.7224934697151184,-0.1681145429611206,4.189145088195801,2151.458251953125,19.564250946044922,80.6971206665039,100.2613754272461,199.47860717773438,9.244132041931152
-0.4226037859916687,38.79999923706055,1000.0,17.0,1.3363983631134033,0.021273085847496986,15.0,1.0005329847335815,1.0005329847335815,1.0005329847335815,0.022836385294795036,0.0002783999952953309,0.9208319783210754,360000.0,-0.05309485271573067,-0.022208798676729202,0.047572821378707886,0.004934242460876703,0.0020061524119228125,-0.034994639456272125,1.1159247159957886,0.39343124628067017,3.732903242111206,2230.90087890625,20.393606185913086,59.02046203613281,79.41407012939453,251.84454345703125,9.336136817932129
-0.4457051157951355,32.7599983215332,1000.0,18.0,1.3257046937942505,0.020890474319458008,15.0,0.998521625995636,0.998521625995636,0.998521625995636,0.02048228681087494,0.00027719998615793884,0.910991370677948,380000.0,-0.03915737569332123,0.013937477022409439,-0.03278549760580063,0.0042854552157223225,-0.0006487872451543808,-0.02635333500802517,0.5913271307945251,-0.5245975852012634,3.29488468170166,2312.6171875,20.379894256591797,61.30921936035156,81.68911743164062,244.83065795898438,9.342400550842285
-0.3404223322868347,30.139999389648438,1000.0,19.0,1.3188003301620483,0.0209344569593668,14.0,0.9993617534637451,0.9993617534637451,0.9993617534637451,0.020150313153862953,0.00027600000612437725,0.9047210216522217,400000.0,-0.02911619283258915,0.010041182860732079,-0.11823771893978119,0.004551627207547426,0.00026617199182510376,-0.06645876169204712,0.5292596220970154,-0.062067508697509766,2.0865941047668457,2389.14892578125,19.424989700317383,57.07978439331055,76.50577545166016,261.4181823730469,9.32220458984375
-0.5349519848823547,21.399999618530273,1000.0,20.0,1.3115416765213013,0.02089710347354412,12.0,0.9991359114646912,0.9991359114646912,0.9991359114646912,0.0209282748401165,0.0002747999969869852,0.8981955051422119,420000.0,-0.037543270736932755,-0.008427077904343605,-0.1642172783613205,0.004822802729904652,0.0002711755223572254,-0.04307423532009125,0.7592886090278625,0.23002898693084717,5.211606025695801,2456.142578125,19.258939743041992,47.70859909057617,66.96753692626953,298.65216064453125,9.177685737609863
