Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-1.3909698724746704,53.6875,1000.0,0.0,1.412710189819336,0.012300041504204273,40.0,0.9990143775939941,0.9990143775939941,0.9990143775939941,0.01888101175427437,0.00029880000511184335,0.9938666224479675,20000.0,-0.014841360040009022,-0.014841360040009022,-0.1596444845199585,0.005539637058973312,0.005539637058973312,0.031191183254122734,155.8118896484375,40.604461669921875,115.20556640625,155.81002807617188,128.36143493652344
-0.7526161670684814,76.09375,1000.0,1.0,1.3969788551330566,0.020161312073469162,34.0,0.9992032051086426,0.9992032051086426,0.9992032051086426,0.0205376073718071,0.0002975999959744513,0.9783552885055542,40000.0,-0.018209030851721764,-0.003367670811712742,0.06469404697418213,0.0038709810469299555,-0.001668656012043357,0.004722450394183397,292.2424621582031,36.576419830322266,99.81819152832031,136.3946075439453,146.63336181640625
0.0708032175898552,76.85416412353516,1000.0,2.0,1.3798004388809204,0.020313480868935585,16.0,0.9993442296981812,0.9993442296981812,0.9993442296981812,0.01989462971687317,0.00029639998683705926,0.9616745114326477,60000.0,-0.013529381714761257,0.0046796491369605064,0.20354051887989044,0.009044364094734192,0.005173383047804236,0.058644842356443405,378.9693298339844,38.801353454589844,47.89601516723633,86.6973648071289,230.68751525878906
1.042119026184082,110.91999816894531,1000.0,3.0,1.3500617742538452,0.020056119188666344,27.0,0.9996688365936279,0.9996688365936279,0.9996688365936279,0.01954464800655842,0.00029520000680349767,0.9334664940834045,80000.0,-0.018771890550851822,-0.005242508836090565,-0.05197662115097046,0.00631353072822094,-0.0027308333665132523,0.06728685647249222,492.9021301269531,30.77589225769043,83.1342544555664,113.91014099121094,175.5769805908203
1.7118020057678223,96.91999816894531,1000.0,4.0,1.3265151977539062,0.020776992663741112,25.0,0.9965726137161255,0.9965726137161255,0.9965726137161255,0.021032651886343956,0.00029399999766610563,0.9117358922958374,100000.0,-0.01707729697227478,0.0016945935785770416,0.14834536612033844,0.006057053804397583,-0.00025647692382335663,0.0888245478272438,600.9019775390625,30.397565841674805,77.5767593383789,107.97432708740234,185.22921752929688
2.591831922531128,104.45999908447266,1000.0,5.0,1.2978638410568237,0.020020587369799614,25.0,0.9956539869308472,0.9956539869308472,0.9956539869308472,0.020658079534769058,0.0002927999885287136,0.8859920501708984,120000.0,-0.01819363236427307,-0.001116335391998291,0.06549942493438721,0.013141644187271595,0.007084590382874012,0.17556540668010712,708.1182250976562,30.811494827270508,76.3787841796875,107.19027709960938,186.58409118652344
3.8277597427368164,68.72000122070312,1000.0,6.0,1.2676922082901,0.020232319831848145,18.0,0.9963283538818359,0.9963283538818359,0.9963283538818359,0.02078961208462715,0.000291600008495152,0.8596583008766174,140000.0,-0.018683260306715965,-0.000489627942442894,-0.24498184025287628,0.01786535605788231,0.004723711870610714,0.24142900109291077,797.6251220703125,33.328250885009766,56.15211486816406,89.48136138916016,223.51022338867188
5.348381519317627,79.76000213623047,1000.0,7.0,1.2407360076904297,0.020614134147763252,18.0,0.9975858926773071,0.9975858926773071,0.9975858926773071,0.02031519263982773,0.00029039999935775995,0.8368077278137207,160000.0,-0.019534770399332047,-0.0008515100926160812,0.08818183094263077,0.025434253737330437,0.007568897679448128,0.33657106757164,889.8746948242188,35.87677001953125,56.348228454589844,92.2249984741211,216.86094665527344
6.438510894775391,84.80000305175781,1000.0,8.0,1.2144640684127808,0.02172078937292099,12.0,0.9975478649139404,0.9975478649139404,0.9975478649139404,0.020467039197683334,0.0002891999902203679,0.8151001930236816,180000.0,-0.018683912232518196,0.0008508581668138504,-0.06128856539726257,0.02521187998354435,-0.00022237375378608704,0.4842793941497803,960.5933837890625,34.50117492675781,36.19346618652344,70.69464111328125,282.9068908691406
7.695091724395752,89.95999908447266,1000.0,9.0,1.1848355531692505,0.020217975601553917,18.0,0.9972447156906128,0.9972447156906128,0.9972447156906128,0.021465890109539032,0.0002880000101868063,0.7913099527359009,200000.0,-0.02127819135785103,-0.0025942791253328323,-0.14080935716629028,0.029078133404254913,0.0038662534207105637,0.5646902322769165,1052.7484130859375,36.45390701293945,55.678062438964844,92.13196563720703,217.07992553710938
