Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
-2.21704363822937,41.4375,1000.0,0.0,1.414408802986145,0.0001324821641901508,40.0,0.999825656414032,0.999825656414032,0.999825656414032,0.00012329357559792697,0.0,0.9955493807792664,20000.0,-0.009735353291034698,-0.009735353291034698,-1.516342251761671e-08,0.004268554504960775,0.004268554504960775,0.046521205455064774,0.6203987002372742,0.6203987002372742,-0.059008415788412094,122.22209167480469,21.224071502685547,100.99801635742188,122.22209167480469,163.63653564453125,1.050106167793274,0.32757455110549927,0.09889622032642365,0.01813691109418869,0.2451471984386444,1.0,0.15041592717170715,0.01812625303864479,-3179.850341796875,0.01813691109418869,-0.0009516357677057385,0.08496931195259094,0.0,0.4851588308811188,0.0
-2.6918880939483643,40.15625,1000.0,1.0,1.4090622663497925,0.00014510225446429104,40.0,0.9987618327140808,0.9987618327140808,0.9987618327140808,0.0008755024173296988,0.0,0.9902457594871521,40000.0,-0.008845370262861252,0.0008899830281734467,-6.675719976811934e-10,0.003058882663026452,-0.0012096718419343233,0.000658633594866842,0.3796446919441223,-0.24075400829315186,0.2916107773780823,242.57119750976562,21.163562774658203,99.15115356445312,120.3147201538086,166.23069763183594,0.761638343334198,0.31624460220336914,0.15255936980247498,0.034477218985557556,0.30018216371536255,1.0,0.16330261528491974,0.03442929685115814,-2359.047607421875,0.034477218985557556,0.0021601649932563305,0.09737402200698853,0.0,0.4532036781311035,0.0
-2.675320863723755,36.58333206176758,1000.0,2.0,1.4100452661514282,0.0001424354122718796,40.0,1.000149130821228,1.000149130821228,1.000149130821228,0.00010536718764342368,0.0,0.9912664294242859,60000.0,-0.005615132860839367,0.003230237402021885,4.615187521039843e-08,0.0029432885348796844,-0.00011559412814676762,-0.02288038097321987,0.35587409138679504,-0.02377060055732727,1.1486116647720337,365.8666076660156,21.943464279174805,101.31939697265625,123.26286315917969,162.2548828125,0.7364122867584229,0.3280438184738159,0.15910400450229645,0.03687974065542221,0.2983202040195465,1.0,0.1305861920118332,0.03640122711658478,-2404.2939453125,0.03687974065542221,0.005167554132640362,0.05580534040927887,0.0,0.598655641078949,0.0
-2.7079315185546875,35.099998474121094,1000.0,3.0,1.4059683084487915,0.0001608241000212729,40.0,0.9992153644561768,0.9992153644561768,0.9992153644561768,0.0005548211047425866,0.0,0.987237274646759,80000.0,-0.004770346917212009,0.0008447859436273575,1.8882751362525596e-08,0.004230710212141275,0.001287421677261591,-0.07684151828289032,0.32716840505599976,-0.028705686330795288,1.2801710367202759,486.3689270019531,21.608366012573242,98.86138916015625,120.46975708007812,166.0167694091797,0.8071039319038391,0.30347660183906555,0.13312506675720215,0.030702300369739532,0.30123311281204224,1.0,0.19726906716823578,0.026529427617788315,-902.1270751953125,0.030702300369739532,0.02172202058136463,0.1130746454000473,0.0,0.4205642640590668,0.0
-2.6024084091186523,29.600000381469727,1000.0,4.0,1.406905174255371,0.00013515021419152617,40.0,0.9998396039009094,0.9998396039009094,0.9998396039009094,0.00011337504110997543,0.0,0.9881436228752136,100000.0,-0.008883267641067505,-0.0041129207238554955,-3.859996766664153e-08,0.0036340411752462387,-0.0005966690368950367,-0.09178366512060165,0.24949680268764496,-0.0776716023683548,1.581511378288269,606.5631103515625,21.814754486083984,98.3453369140625,120.16008758544922,166.44461059570312,0.6853240728378296,0.32675859332084656,0.16444580256938934,0.0425831638276577,0.34488630294799805,1.0,0.11799751222133636,0.04238913953304291,-407.05255126953125,0.0425831638276577,-0.003175762016326189,0.05198090523481369,0.0,0.6202874779701233,0.0
-2.5970444679260254,30.1200008392334,1000.0,5.0,1.4229520559310913,0.00012808498286176473,40.0,1.0002217292785645,1.0002217292785645,1.0002217292785645,0.00015678627823945135,0.0,1.0041931867599487,120000.0,-0.008808773010969162,7.44946300983429e-05,-9.250641141989036e-09,0.00442115543410182,0.0007871142588555813,-0.08347269892692566,0.25857800245285034,0.009081199765205383,1.4267855882644653,731.1276245117188,22.208616256713867,102.32298278808594,124.5315933227539,160.601806640625,0.7577456831932068,0.33184635639190674,0.15933369100093842,0.034832362085580826,0.28442463278770447,1.0,0.11494908481836319,0.03456945717334747,-574.261474609375,0.034832362085580826,-0.0034642373211681843,0.04564730450510979,0.0,0.6619228720664978,0.0
-2.672067165374756,17.059999465942383,1000.0,6.0,1.4343563318252563,0.00021772232139483094,40.0,0.9998746514320374,0.9998746514320374,0.9998746514320374,8.862077811500058e-05,0.0,1.0157002210617065,140000.0,-0.02100684493780136,-0.012198071926832199,-9.53674295089968e-09,0.003940369468182325,-0.00048078596591949463,-0.11734712868928909,0.23435340821743011,-0.024224594235420227,2.1418912410736084,851.4299926757812,22.14365005493164,98.12559509277344,120.26924133300781,166.29356384277344,0.680621862411499,0.2227925807237625,0.16984030604362488,0.04317358136177063,0.3273368179798126,1.0,0.08570820838212967,0.04256748780608177,-2401.06787109375,0.04317358136177063,0.003989208489656448,0.02625625766813755,1.4692445993423462,0.0,3.0
-1.757949948310852,20.940000534057617,1000.0,7.0,1.4343743324279785,0.0002186416822951287,40.0,1.0002273321151733,1.0002273321151733,1.0002273321151733,0.00016077618056442589,0.0,1.0157259702682495,160000.0,-0.020840618759393692,0.00016622617840766907,-6.103515470812226e-09,0.004607985727488995,0.0006676162593066692,-0.08853699266910553,0.3872350752353668,0.1528816670179367,3.4772043228149414,972.3232421875,22.115697860717773,98.74483489990234,120.86052703857422,165.47999572753906,0.7242456674575806,0.2428165078163147,0.15267831087112427,0.038129232823848724,0.33526816964149475,1.0,0.11753208935260773,0.03805270418524742,-338.58636474609375,0.038129232823848724,0.0019301450811326504,0.04868069291114807,1.3807469606399536,0.0,3.0
-0.6345247030258179,18.040000915527344,1000.0,8.0,1.4334837198257446,0.00022028137755114585,40.0,0.9996655583381653,0.9996655583381653,0.9996655583381653,0.00023647191119380295,0.0,1.0148228406906128,180000.0,-0.017645740881562233,0.003194877877831459,-3.027916051223656e-08,0.006543080788105726,0.0019350950606167316,-0.06937167048454285,0.3358645737171173,-0.05137050151824951,3.5753839015960693,1093.8419189453125,22.321313858032227,99.16392517089844,121.48523712158203,164.62905883789062,0.892369270324707,0.2450093775987625,0.12184007465839386,0.025115428492426872,0.2745605409145355,1.0,0.12271445244550705,0.02511540986597538,-955.127685546875,0.025115428492426872,-3.1146337278187275e-05,0.05071631446480751,1.1206122636795044,0.0,3.0
1.115004539489746,26.780000686645508,1000.0,9.0,1.439772605895996,0.0001420833432348445,40.0,1.0006059408187866,1.0006059408187866,1.0006059408187866,0.0004284929600544274,0.0,1.0212701559066772,200000.0,-0.006185554899275303,0.01146018598228693,2.0360946706432514e-08,0.007848790846765041,0.0013057100586593151,0.0020879837684333324,0.3828171491622925,0.04695257544517517,3.1721785068511963,1214.7362060546875,22.687177658081055,98.16850280761719,120.85567474365234,165.4866485595703,0.922929048538208,0.3130019009113312,0.13022582232952118,0.023479733616113663,0.2609294652938843,1.0,0.14396977424621582,0.02331577055156231,-57.4256477355957,0.023479733616113663,0.003007214516401291,0.05515477806329727,0.0,0.6021759510040283,0.0
