Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/EpBudget
-4.6771240234375,17.25,1000.0,0.0,1.421027660369873,0.00789342075586319,40.0,0.9999868869781494,0.9999868869781494,0.9999868869781494,0.013724911026656628,0.00029880000511184335,1.0020955801010132,20000.0,-0.00737769715487957,-0.00737769715487957,-0.06558026373386383,0.07342514395713806,0.07342514395713806,0.1407712996006012,141.10250854492188,20.044158935546875,121.058349609375,141.10250854492188,141.7409210205078,432.73223876953125
-5.025877952575684,16.8125,1000.0,1.0,1.4295768737792969,0.00817118026316166,40.0,1.0003995895385742,1.0003995895385742,1.0003995895385742,0.01357435155659914,0.0002975999959744513,1.0106990337371826,40000.0,-0.008085357956588268,-0.0007076608017086983,0.12924498319625854,0.12366443127393723,0.050239287316799164,-0.9265144467353821,283.055419921875,21.476539611816406,120.44331359863281,141.91986083984375,140.9246063232422,425.02197265625
-4.600277423858643,28.33333396911621,1000.0,2.0,1.4229077100753784,0.008834377862513065,40.0,0.9992818236351013,0.9992818236351013,0.9992818236351013,0.01458614133298397,0.00029639998683705926,1.0039812326431274,60000.0,-0.013016517274081707,-0.004931159317493439,-0.05853348225355148,0.3597445785999298,0.23608014732599258,-3.15381121635437,425.8514709472656,20.844390869140625,121.91947174072266,142.76385498046875,140.0914764404297,-703.489013671875
-4.394897937774658,28.8799991607666,1000.0,3.0,1.4220854043960571,0.011278090998530388,40.0,1.0006725788116455,1.0006725788116455,1.0006725788116455,0.015785280615091324,0.00029520000680349767,1.0031647682189941,80000.0,-0.014571418054401875,-0.0015549007803201675,0.12764769792556763,0.18429754674434662,-0.1754470318555832,-2.137960910797119,569.6405029296875,22.304107666015625,121.45352935791016,143.75762939453125,139.123046875,327.86517333984375
-3.544823408126831,29.760000228881836,1000.0,4.0,1.4161505699157715,0.014485311694443226,40.0,1.0001081228256226,1.0001081228256226,1.0001081228256226,0.01725825108587742,0.00029399999766610563,0.9972241520881653,100000.0,-0.01794937252998352,-0.003377954475581646,0.03086845576763153,0.16532084345817566,-0.01897670328617096,-1.7155011892318726,712.7843017578125,22.79734992980957,120.3126220703125,143.10997009277344,139.75267028808594,586.72021484375
-3.167323589324951,24.0,1000.0,5.0,1.4075191020965576,0.018721356987953186,40.0,0.9994038343429565,0.9994038343429565,0.9994038343429565,0.0187534186989069,0.0002927999885287136,0.9886490702629089,120000.0,-0.021485352888703346,-0.0035359803587198257,0.08475867658853531,0.2714229226112366,0.10610207915306091,-3.1302549839019775,855.6456909179688,20.488548278808594,122.3401870727539,142.8287353515625,140.02784729003906,210.1123809814453
-2.8854260444641113,25.3799991607666,1000.0,6.0,1.399444580078125,0.01873665861785412,40.0,0.9995008111000061,0.9995008111000061,0.9995008111000061,0.019659269601106644,0.000291600008495152,0.9806994199752808,140000.0,-0.02140437625348568,8.097663521766663e-05,-0.02146517112851143,0.4168936312198639,0.14547070860862732,-4.0683722496032715,998.0851440429688,19.617630004882812,122.78718566894531,142.40481567382812,140.44468688964844,63.32764434814453
-2.577435255050659,25.65999984741211,1000.0,7.0,1.3967846632003784,0.021666619926691055,21.0,0.9990363121032715,0.9990363121032715,0.9990363121032715,0.02110578492283821,0.00029039999935775995,0.9781030416488647,160000.0,-0.016357842832803726,0.005046533420681953,0.05317611247301102,0.4344647526741028,0.01757112145423889,-3.4095160961151123,1084.6474609375,21.922954559326172,64.60792541503906,86.53087615966797,231.13136291503906,583.0264282226562
-2.140836238861084,25.100000381469727,1000.0,8.0,1.3906084299087524,0.020541997626423836,23.0,0.9996834397315979,0.9996834397315979,0.9996834397315979,0.02029159665107727,0.0002891999902203679,0.9720869660377502,180000.0,-0.016921555623412132,-0.0005637127906084061,0.030812734737992287,0.4663521349430084,0.03188738226890564,-3.6042640209198,1178.647216796875,21.463781356811523,72.50834655761719,93.97212982177734,212.8290557861328,358.754638671875
-1.846433401107788,20.479999542236328,1000.0,9.0,1.378710150718689,0.0230448879301548,20.0,0.999904453754425,0.999904453754425,0.999904453754425,0.02132553420960903,0.0002880000101868063,0.9606207609176636,200000.0,-0.016732988879084587,0.00018856674432754517,0.07181982696056366,0.3109450936317444,-0.15540704131126404,-2.7378811836242676,1262.74560546875,21.97148895263672,62.0985221862793,84.07000732421875,237.89695739746094,562.3599853515625
-1.7965431213378906,21.299999237060547,1000.0,10.0,1.3755923509597778,0.020960567519068718,27.0,0.9991521835327148,0.9991521835327148,0.9991521835327148,0.021656012162566185,0.0002868000010494143,0.9575904607772827,220000.0,-0.019717641174793243,-0.0029846522957086563,-0.4350226819515228,0.3809477388858795,0.07000264525413513,-3.394406318664551,1367.5645751953125,21.07317352294922,83.71924591064453,104.79241943359375,190.85350036621094,332.3033447265625
-1.6176098585128784,23.15999984741211,1000.0,11.0,1.3618590831756592,0.020535457879304886,12.0,0.9978823661804199,0.9978823661804199,0.9978823661804199,0.020269669592380524,0.00028559999191202223,0.9445423483848572,240000.0,-0.012510823085904121,0.007206818088889122,0.23048624396324158,0.5315064191818237,0.1505586802959442,-4.176105499267578,1427.485595703125,23.359601974487305,36.53386306762695,59.89346694946289,333.9262390136719,513.0316772460938
-1.2696682214736938,23.579999923706055,1000.0,12.0,1.3488205671310425,0.02113920822739601,9.0,0.998996376991272,0.998996376991272,0.998996376991272,0.020075326785445213,0.00028440001187846065,0.9322947859764099,260000.0,-0.010255380533635616,0.002255442552268505,-0.4511104226112366,0.5656182765960693,0.034111857414245605,-2.88824725151062,1478.91259765625,22.447368621826172,28.953041076660156,51.40040969848633,389.1019592285156,556.587158203125
-0.5443682670593262,21.639999389648438,1000.0,13.0,1.3461188077926636,0.023227712139487267,12.0,0.9995768666267395,0.9995768666267395,0.9995768666267395,0.021390506997704506,0.0002832000027410686,0.9297916293144226,280000.0,-0.014093446545302868,-0.0038380660116672516,-0.1324194073677063,0.4063694179058075,-0.15924885869026184,-2.4366602897644043,1537.1260986328125,20.747093200683594,37.446441650390625,58.19353103637695,343.6808166503906,649.591064453125
0.059793125838041306,22.81999969482422,1000.0,14.0,1.346068024635315,0.021318653598427773,20.0,1.000400424003601,1.000400424003601,1.000400424003601,0.02140977419912815,0.00028199999360367656,0.9297245740890503,300000.0,-0.018259115517139435,-0.004165668971836567,-0.2830237150192261,0.3301723003387451,-0.07619711756706238,-1.990490436553955,1618.177978515625,21.285648345947266,59.745277404785156,81.03092193603516,246.81935119628906,340.2741394042969
0.37570175528526306,19.899999618530273,1000.0,15.0,1.3268121480941772,0.02149713784456253,7.0,0.9990485906600952,0.9990485906600952,0.9990485906600952,0.0205471683293581,0.00028080001357011497,0.9120163321495056,320000.0,-0.0087362639605999,0.009522851556539536,-0.2526867985725403,0.3774600327014923,0.04728773236274719,-2.0929088592529297,1663.6341552734375,24.255321502685547,21.172779083251953,45.4281005859375,440.2561340332031,550.69384765625
0.34592974185943604,17.260000228881836,1000.0,16.0,1.3171508312225342,0.02279992401599884,11.0,0.998935878276825,0.998935878276825,0.998935878276825,0.021572107449173927,0.0002796000044327229,0.9032309055328369,340000.0,-0.010907922871410847,-0.0021716589108109474,-0.07444535940885544,0.29963016510009766,-0.07782986760139465,-1.556821346282959,1717.22900390625,19.67974281311035,33.896766662597656,53.57651138305664,373.29791259765625,942.0338134765625
0.30653589963912964,15.9399995803833,1000.0,17.0,1.3200887441635132,0.02146214060485363,12.0,0.999534547328949,0.999534547328949,0.999534547328949,0.02261282131075859,0.0002783999952953309,0.9058913588523865,360000.0,-0.014075526036322117,-0.00316760316491127,0.17370730638504028,0.38752251863479614,0.08789235353469849,-2.662764549255371,1774.499267578125,21.90011215209961,35.348968505859375,57.24907684326172,349.3506164550781,600.8087158203125
0.49640801548957825,15.279999732971191,1000.0,18.0,1.3199108839035034,0.023458579555153847,14.0,1.0001217126846313,1.0001217126846313,1.0001217126846313,0.02209256775677204,0.00027719998615793884,0.9057252407073975,380000.0,-0.014979060739278793,-0.0009035347029566765,-0.1495756208896637,0.39812564849853516,0.010603129863739014,-1.6921806335449219,1838.7252197265625,21.107322692871094,43.09762954711914,64.2049560546875,311.50244140625,551.8370971679688
0.6320108771324158,14.680000305175781,1000.0,19.0,1.3016517162322998,0.020250719040632248,9.0,0.9996336698532104,0.9996336698532104,0.9996336698532104,0.021991020068526268,0.00027600000612437725,0.8893571496009827,400000.0,-0.011109678074717522,0.0038693826645612717,-0.14700211584568024,0.2722756862640381,-0.12584996223449707,-1.2300026416778564,1886.777587890625,20.433319091796875,27.59691619873047,48.030235290527344,416.4043884277344,967.767822265625
0.803028404712677,17.639999389648438,1000.0,20.0,1.2909084558486938,0.025025948882102966,14.0,1.0023447275161743,1.0023447275161743,1.0023447275161743,0.021058430895209312,0.0002747999969869852,0.8799143433570862,420000.0,-0.0168982595205307,-0.005788581445813179,1.50240957736969e-05,0.23274371027946472,-0.039531975984573364,-1.5255978107452393,1950.722900390625,21.75237464904785,42.170997619628906,63.92436218261719,312.8697814941406,444.5842590332031
1.1470586061477661,11.65999984741211,1000.0,21.0,1.2832955121994019,0.02213921956717968,4.0,0.999924898147583,0.999924898147583,0.999924898147583,0.01968930847942829,0.00027359998784959316,0.8732113838195801,440000.0,-0.0030538674909621477,0.013844392029568553,0.31332284212112427,0.17119334638118744,-0.06155036389827728,-0.9758424758911133,1985.313232421875,21.83949089050293,12.729866027832031,34.569358825683594,578.5470581054688,959.4707641601562
1.3716533184051514,16.899999618530273,1000.0,22.0,1.2708635330200195,0.022343935444951057,6.0,1.000199556350708,1.000199556350708,1.000199556350708,0.020161684602499008,0.0002724000078160316,0.8623766303062439,460000.0,-0.008760632947087288,-0.00570676545612514,-0.005872562527656555,0.5092450976371765,0.3380517512559891,-1.544281244277954,2023.7352294921875,20.61524772644043,17.786460876464844,38.4027099609375,520.7965698242188,577.211669921875
1.3822270631790161,13.619999885559082,1000.0,23.0,1.2699034214019775,0.0264077540487051,14.0,1.001627802848816,1.001627802848816,1.001627802848816,0.02154422551393509,0.00027119999867863953,0.8615448474884033,480000.0,-0.01651105098426342,-0.007750418037176132,0.10853451490402222,0.2906882166862488,-0.21855688095092773,-1.3987406492233276,2087.72802734375,21.504024505615234,42.469627380371094,63.97365188598633,312.62872314453125,569.0389404296875
1.2981377840042114,21.1200008392334,1000.0,24.0,1.2752149105072021,0.023624910041689873,12.0,1.0002801418304443,1.0002801418304443,1.0002801418304443,0.02108526974916458,0.0002699999895412475,0.8661743402481079,500000.0,-0.014129617251455784,0.0023814337328076363,-0.03462092950940132,0.22143708169460297,-0.06925113499164581,-1.0031185150146484,2144.83740234375,20.737998962402344,36.34935760498047,57.08735656738281,350.34027099609375,555.6055908203125
1.0400381088256836,18.440000534057617,1000.0,25.0,1.2703078985214233,0.024342404678463936,1.0,1.000866413116455,1.000866413116455,1.000866413116455,0.018571531400084496,0.0002688000095076859,0.8619143962860107,520000.0,0.006376645993441343,0.020506263244897127,-0.2831280529499054,0.24347089231014252,0.02203381061553955,-0.6663939356803894,2169.08837890625,21.12081527709961,3.109571695327759,24.23038673400879,825.4098510742188,772.9876098632812
1.2133984565734863,19.3799991607666,1000.0,26.0,1.2662596702575684,0.020607907325029373,1.0,0.9988996982574463,0.9988996982574463,0.9988996982574463,0.01975269429385662,0.00026760000037029386,0.8584312200546265,540000.0,0.0036895310040563345,-0.002687114989385009,-0.06089581549167633,0.35085922479629517,0.10738833248615265,-0.7809467315673828,2192.590576171875,20.471385955810547,3.0137016773223877,23.485088348388672,851.604248046875,717.8345336914062
1.3839802742004395,18.579999923706055,1000.0,27.0,1.2645695209503174,0.021991180256009102,12.0,1.0001078844070435,1.0001078844070435,1.0001078844070435,0.020627787336707115,0.0002663999912329018,0.8570358753204346,560000.0,-0.012622131034731865,-0.0163116620387882,0.27319392561912537,0.22273242473602295,-0.12812680006027222,-1.0548248291015625,2250.38232421875,20.80072593688965,36.974029541015625,57.77475357055664,346.1719665527344,573.9754028320312
1.8114891052246094,20.81999969482422,1000.0,28.0,1.2576234340667725,0.025020375847816467,3.0,0.9996616840362549,0.9996616840362549,0.9996616840362549,0.020562732592225075,0.0002652000111993402,0.8512420058250427,580000.0,-0.0021467001643031836,0.010475430870428681,-0.009008286520838737,0.2393035739660263,0.016571149230003357,-0.767662763595581,2279.2333984375,20.048189163208008,8.780889511108398,28.829078674316406,693.7439575195312,747.5581665039062
1.6578669548034668,19.84000015258789,1000.0,29.0,1.25179922580719,0.023382039740681648,1.0,1.0002940893173218,1.0002940893173218,1.0002940893173218,0.020661190152168274,0.0002640000020619482,0.8463336825370789,600000.0,0.004401008132845163,0.006547708297148347,-0.02290879562497139,0.5930722951889038,0.3537687212228775,-1.6529899835586548,2303.689208984375,21.241992950439453,3.195613384246826,24.437604904174805,818.4107666015625,692.198486328125
1.5292590856552124,20.1200008392334,1000.0,30.0,1.2473385334014893,0.020336894318461418,14.0,1.0005872249603271,1.0005872249603271,1.0005872249603271,0.02200605347752571,0.00026279999292455614,0.8425942063331604,620000.0,-0.01354670338332653,-0.017947711516171694,-0.0042213089764118195,0.21904651820659637,-0.37402577698230743,-1.0831516981124878,2368.259521484375,21.37141227722168,43.180667877197266,64.55207824707031,309.82733154296875,868.2068481445312
1.38213312625885,10.979999542236328,1000.0,31.0,1.2480376958847046,0.02909136936068535,3.0,0.998131513595581,0.998131513595581,0.998131513595581,0.023982129991054535,0.00026160001289099455,0.8432738184928894,640000.0,-0.0008833521278575063,0.012663351255469024,0.04076065495610237,0.35197654366493225,0.13293002545833588,-1.1004425287246704,2398.533447265625,21.307327270507812,8.933600425720215,30.240928649902344,661.3553466796875,961.041259765625
1.1513371467590332,15.180000305175781,1000.0,32.0,1.2488868236541748,0.020651422441005707,18.0,1.0040032863616943,1.0040032863616943,1.0040032863616943,0.02092045731842518,0.0002604000037536025,0.8442176580429077,660000.0,-0.017149537801742554,-0.016266185673885047,-0.1824410855770111,0.131522536277771,-0.22045400738716125,-0.09770132601261139,2472.7978515625,21.169044494628906,53.07808303833008,74.24713134765625,269.3706970214844,534.4285888671875
1.4057153463363647,18.81999969482422,1000.0,33.0,1.2485511302947998,0.020108787342905998,17.0,1.0022116899490356,1.0022116899490356,1.0022116899490356,0.021291926503181458,0.00025919999461621046,0.8440391421318054,680000.0,-0.021432355046272278,-0.004282817244529724,-0.0024502165615558624,0.1332991123199463,0.001776576042175293,-0.7240175008773804,2546.189697265625,22.51034927368164,50.85714340209961,73.36749267578125,272.6003112792969,530.3421630859375
